Restaurent name,Cuisine types,Rating,Price,Distance,Location,what_people_like_about_us,textual_features
Thaliwala Pure Veg Restaurant,"North Indian, Chinese, Beverages",3.5,₹800 for two,3.4,"Tajganj, Agra","Ambiance, Quantity, Innovative Dishes","North Indian, Chinese, BeveragesAmbiance, Quantity, Innovative Dishes₹800 for two3.5"
Beep,"North Indian, Chinese, Continental, Pizza, Pasta",4.4,"₹1,200 for two",2.4,"Rakabganj, Agra","Consistent Quality, Hospitality, Perfect Place","North Indian, Chinese, Continental, Pizza, PastaConsistent Quality, Hospitality, Perfect Place₹1,200 for two4.4"
Djlecious,"Bakery, Desserts, Beverages",4.0,₹400 for two,3.3,"Civil Lines, Agra","Clean Environment, Hospitality, Good Bartenders","Bakery, Desserts, BeveragesClean Environment, Hospitality, Good Bartenders₹400 for two4.0"
Mama Chicken Mama Franky House,"North Indian, Mughlai, Rolls, Burger, Momos",4.1,"₹1,000 for two",2.2,"Agra Cantt, Agra","Fresh Ingredients, Hospitality, Warm Atmosphere","North Indian, Mughlai, Rolls, Burger, MomosFresh Ingredients, Hospitality, Warm Atmosphere₹1,000 for two4.1"
KFC,"Burger, Fast Food, Biryani, Desserts, Beverages",3.6,₹500 for two,3.0,"Khandari, Agra","Sustainable Practices, Impeccable Presentation, Seasonal Menu","Burger, Fast Food, Biryani, Desserts, BeveragesSustainable Practices, Impeccable Presentation, Seasonal Menu₹500 for two3.6"
La Pino'z Pizza,"Pizza, Pasta, Italian, Fast Food",3.3,₹500 for two,3.1,"Tajganj, Agra","Delicious Food, Young Crowd, Efficient Service","Pizza, Pasta, Italian, Fast FoodDelicious Food, Young Crowd, Efficient Service₹500 for two3.3"
Momocult,"Momos, Chinese, Fast Food",3.8,₹200 for two,2.7,"Civil Lines, Agra","Variety of Beer, Good Music, Brewed Beer","Momos, Chinese, Fast FoodVariety of Beer, Good Music, Brewed Beer₹200 for two3.8"
Pizza Hut,"Pizza, Fast Food, Desserts, Beverages",3.9,"₹1,000 for two",2.4,"Agra Cantt, Agra","Diverse Menu, Brewed Beer, Courteous Staff","Pizza, Fast Food, Desserts, BeveragesDiverse Menu, Brewed Beer, Courteous Staff₹1,000 for two3.9"
Bistro 57,"Cafe, Pasta, Pizza, Burger, Coffee, Fast Food",3.9,₹600 for two,3.3,"Civil Lines, Agra","Main Course, Well-priced Options, Vintage Decor","Cafe, Pasta, Pizza, Burger, Coffee, Fast FoodMain Course, Well-priced Options, Vintage Decor₹600 for two3.9"
Tease Me - Rooftop Cafe,"Italian, North Indian, Fast Food",4.3,"₹1,500 for two",2.2,"Tajganj, Agra","Perfect Place, Variety of Beer, Well-priced Options","Italian, North Indian, Fast FoodPerfect Place, Variety of Beer, Well-priced Options₹1,500 for two4.3"
McDonald's,"Burger, Fast Food, Beverages, Cafe",4.0,₹500 for two,2.7,"Civil Lines, Agra","Customizable Dishes, Local Sourcing, Good Bartenders","Burger, Fast Food, Beverages, CafeCustomizable Dishes, Local Sourcing, Good Bartenders₹500 for two4.0"
Fat Tiger,"North Indian, Rolls, Momos, Desserts, Shake, Coffee, Beverages",3.6,"₹1,100 for two",3.1,"Civil Lines, Agra","Variety of Beer, Quantity, Extensive Mocktail Menu","North Indian, Rolls, Momos, Desserts, Shake, Coffee, BeveragesVariety of Beer, Quantity, Extensive Mocktail Menu₹1,100 for two3.6"
La' Chef Multicuisine Restaurant,"North Indian, Chinese, Kebab, South Indian, Continental, Ice Cream, Beverages",-,"₹1,200 for two",7.2,"Sikandra, Agra","Comfortable Seating, Courteous Staff, Cozy Ambiance","North Indian, Chinese, Kebab, South Indian, Continental, Ice Cream, BeveragesComfortable Seating, Courteous Staff, Cozy Ambiance₹1,200 for two-"
Lord Of The Drinks,"European, Chinese, North Indian, Italian",4.1,"₹1,800 for two",4.8,"Tajganj, Agra","Warm Atmosphere, Hospitable Staff, Perfect Place","European, Chinese, North Indian, ItalianWarm Atmosphere, Hospitable Staff, Perfect Place₹1,800 for two4.1"
Ghoomar Traditional Thali Restaurant,"North Indian, Rajasthani",3.3,"₹1,000 for two",4.0,"Khandari, Agra","Ambiance, Vintage Decor, Fresh Ingredients","North Indian, RajasthaniAmbiance, Vintage Decor, Fresh Ingredients₹1,000 for two3.3"
Hotel Moti Palace - Pankhuri Restaurant,"North Indian, Chinese, Continental, South Indian, Desserts, Beverages",4.2,"₹1,000 for two",1.4,"Rakabganj, Agra","Delicious Food, Ambiance, Staff","North Indian, Chinese, Continental, South Indian, Desserts, BeveragesDelicious Food, Ambiance, Staff₹1,000 for two4.2"
Dasaprakash,"South Indian, North Indian, Continental, Chinese, Beverages",3.8,₹800 for two,4.8,"Tajganj, Agra","Fresh Ingredients, Great for Dates, Young Crowd","South Indian, North Indian, Continental, Chinese, BeveragesFresh Ingredients, Great for Dates, Young Crowd₹800 for two3.8"
The Ivory Kitchen,"North Indian, Chinese, Pasta, Pizza, Sandwich, Fast Food, Desserts, Beverages",3.9,"₹1,100 for two",2.5,"Agra Cantt, Agra","Ambiance, Perfect Place, Authentic Flavors","North Indian, Chinese, Pasta, Pizza, Sandwich, Fast Food, Desserts, BeveragesAmbiance, Perfect Place, Authentic Flavors₹1,100 for two3.9"
Spiced Brew,"Cafe, Continental, Burger, Sandwich, Fast Food, Beverages, Salad, Healthy Food",4.9,₹800 for two,3.6,"Khandari, Agra","Inviting Decor, Seasonal Menu, Attentive Service","Cafe, Continental, Burger, Sandwich, Fast Food, Beverages, Salad, Healthy FoodInviting Decor, Seasonal Menu, Attentive Service₹800 for two4.9"
Fat Boys Cafe,"Sandwich, Pizza, Fast Food, Chinese, Momos, Pancake, Shake, Beverages",3.7,₹400 for two,2.3,"Agra Cantt, Agra","Memorable Experience, Sophisticated, Local Sourcing","Sandwich, Pizza, Fast Food, Chinese, Momos, Pancake, Shake, BeveragesMemorable Experience, Sophisticated, Local Sourcing₹400 for two3.7"
Haldiram's,"North Indian, South Indian, Chinese, Fast Food, Street Food, Mithai, Beverages",4.2,₹400 for two,4.0,"Khandari, Agra","Trendy Setting, Creative Cuisine, Sustainable Practices","North Indian, South Indian, Chinese, Fast Food, Street Food, Mithai, BeveragesTrendy Setting, Creative Cuisine, Sustainable Practices₹400 for two4.2"
Newcastle Cafe & Restaurant,"North Indian, Fast Food, Chinese, Kebab, Sushi, Seafood, Pizza, Pasta",4.4,"₹1,100 for two",5.8,"Sikandra, Agra","Satisfying Portions, Creative Cuisine, Efficient Service","North Indian, Fast Food, Chinese, Kebab, Sushi, Seafood, Pizza, PastaSatisfying Portions, Creative Cuisine, Efficient Service₹1,100 for two4.4"
Food Adda,"Burger, Pizza, Sandwich, Fast Food, Desserts, Beverages",3.9,₹400 for two,5.4,"Khandari, Agra","Attentive Service, Diverse Menu, Consistent Quality","Burger, Pizza, Sandwich, Fast Food, Desserts, BeveragesAttentive Service, Diverse Menu, Consistent Quality₹400 for two3.9"
The Mud Cafe,"Sandwich, Momos, Burger, Fast Food, Beverages, Desserts",3.3,₹700 for two,2.6,"Civil Lines, Agra","Innovative Dishes, Friendly Staff, Clean Environment","Sandwich, Momos, Burger, Fast Food, Beverages, DessertsInnovative Dishes, Friendly Staff, Clean Environment₹700 for two3.3"
Raj Rasoi,"North Indian, South Indian, Chinese, Street Food, Fast Food, Beverages, Shake",4.2,₹600 for two,2.6,"Civil Lines, Agra","Trendy Setting, Ambience, Brewed Beer","North Indian, South Indian, Chinese, Street Food, Fast Food, Beverages, ShakeTrendy Setting, Ambience, Brewed Beer₹600 for two4.2"
Sour N Spicy,"North Indian, Chinese, Street Food, Beverages, Desserts",3.9,"₹1,000 for two",2.2,"Tajganj, Agra","Friendly Staff, Quantity, Ambiance","North Indian, Chinese, Street Food, Beverages, DessertsFriendly Staff, Quantity, Ambiance₹1,000 for two3.9"
Bellevue - The Oberoi Amarvilas,"North Indian, Continental, Desserts",4.2,"₹4,500 for two",3.3,"The Oberoi Amarvilas, Tajganj, Agra","Warm Atmosphere, Exquisite Taste, Seasonal Menu","North Indian, Continental, DessertsWarm Atmosphere, Exquisite Taste, Seasonal Menu₹4,500 for two4.2"
North 27,"North Indian, Chinese, Continental, Oriental, Fast Food, Mughlai, Beverages, Desserts",4.0,"₹3,800 for two",4.3,"DoubleTree by Hilton Hotel Agra, Tajganj, Agra","Sophisticated, Authentic Flavors, Quantity","North Indian, Chinese, Continental, Oriental, Fast Food, Mughlai, Beverages, DessertsSophisticated, Authentic Flavors, Quantity₹3,800 for two4.0"
Delhi 6,"North Indian, Street Food",4.1,₹150 for two,2.7,"Civil Lines, Agra","Hospitable Staff, Young Crowd, Peaceful Ambience","North Indian, Street FoodHospitable Staff, Young Crowd, Peaceful Ambience₹150 for two4.1"
Bhagat Halwai,"Mithai, Street Food, Pizza, Sandwich, Chinese, South Indian, Shake, Beverages",4.1,₹300 for two,3.3,"Civil Lines, Agra","Well-priced Options, Clean Environment, Ambience","Mithai, Street Food, Pizza, Sandwich, Chinese, South Indian, Shake, BeveragesWell-priced Options, Clean Environment, Ambience₹300 for two4.1"
The Curry Station,"North Indian, Chinese, Mughlai",3.9,₹600 for two,3.2,"Lohamandi, Agra","Efficient Service, Delicious Food, Flavorful Creations","North Indian, Chinese, MughlaiEfficient Service, Delicious Food, Flavorful Creations₹600 for two3.9"
Chokho Jeeman Marwari Jain Bhojanalya,Rajasthani,4.3,₹400 for two,2.7,"Civil Lines, Agra","Warm Atmosphere, Great for Dates, Quantity","RajasthaniWarm Atmosphere, Great for Dates, Quantity₹400 for two4.3"
Hotel Orange,"Chinese, North Indian, Mughlai, Biryani, Desserts, Beverages",4.6,"₹1,200 for two",1.8,"Rakabganj, Agra","Satisfying Portions, Peaceful Ambience, Delicious Food","Chinese, North Indian, Mughlai, Biryani, Desserts, BeveragesSatisfying Portions, Peaceful Ambience, Delicious Food₹1,200 for two4.6"
Lattice - Grand Mercure (An Accor Hotel),"North Indian, Continental, Chinese",3.9,"₹1,000 for two",3.8,"Crystal Sarovar Premier, Tajganj, Agra","Seasonal Menu, Innovative Dishes, Breakfast","North Indian, Continental, ChineseSeasonal Menu, Innovative Dishes, Breakfast₹1,000 for two3.9"
Domino's Pizza,"Pizza, Italian, Pasta, Fast Food, Desserts",3.9,₹500 for two,2.7,"Civil Lines, Agra","Hospitality, Flavorful Creations, Young Crowd","Pizza, Italian, Pasta, Fast Food, DessertsHospitality, Flavorful Creations, Young Crowd₹500 for two3.9"
Xero Degrees,"Cafe, Coffee, Beverages, Continental, Sandwich, Fast Food, Salad, Waffle",3.2,"₹1,000 for two",3.1,"Khandari, Agra","Delicious Food, Authentic Flavors, Inviting Decor","Cafe, Coffee, Beverages, Continental, Sandwich, Fast Food, Salad, WaffleDelicious Food, Authentic Flavors, Inviting Decor₹1,000 for two3.2"
Azuri,"North Indian, Chinese, Italian, Fast Food, Juices, Beverages",-,₹700 for two,3.5,"Kamla Nagar, Agra","Seasonal Menu, Live Sports Screening, Quantity","North Indian, Chinese, Italian, Fast Food, Juices, BeveragesSeasonal Menu, Live Sports Screening, Quantity₹700 for two-"
Sky Train Restaurant,"North Indian, Chinese, Fast Food, Beverages",4.1,₹800 for two,7.0,"Sikandra, Agra","Memorable Experience, Perfect Place, Exquisite Taste","North Indian, Chinese, Fast Food, BeveragesMemorable Experience, Perfect Place, Exquisite Taste₹800 for two4.1"
New Pizza King,"Pizza, Fast Food",3.8,₹500 for two,4.1,"Dayal Bagh, Agra","Local Sourcing, Quantity, Brewed Beer","Pizza, Fast FoodLocal Sourcing, Quantity, Brewed Beer₹500 for two3.8"
UP 80 Resturant,"North Indian, Chinese, South Indian, Fast Food",3.9,₹200 for two,5.8,"Dayal Bagh, Agra","Good Bartenders, Consistent Quality, Clean Environment","North Indian, Chinese, South Indian, Fast FoodGood Bartenders, Consistent Quality, Clean Environment₹200 for two3.9"
GMB - Gopika Sweets & Restaurant,"North Indian, South Indian, Chinese, Fast Food, Street Food, Mithai",3.8,₹500 for two,2.7,"Tajganj, Agra","Good Music, Diverse Menu, Cafe","North Indian, South Indian, Chinese, Fast Food, Street Food, MithaiGood Music, Diverse Menu, Cafe₹500 for two3.8"
AAAAR RESTRO,"Pizza, Fast Food",3.3,₹300 for two,3.7,"Kamla Nagar, Agra","Quantity, Flavorful Creations, Variety of Beer","Pizza, Fast FoodQuantity, Flavorful Creations, Variety of Beer₹300 for two3.3"
Aahar,"North Indian, South Indian, Chinese, Bakery, Continental, Desserts, Beverages",4.0,₹700 for two,2.7,"Civil Lines, Agra","Quantity, Consistent Quality, Attentive Service","North Indian, South Indian, Chinese, Bakery, Continental, Desserts, BeveragesQuantity, Consistent Quality, Attentive Service₹700 for two4.0"
Bikaner Express,"North Indian, South Indian, Chinese, Street Food, Beverages",3.5,₹600 for two,3.6,"Kamla Nagar, Agra","Cafe, Ambience, Creative Cuisine","North Indian, South Indian, Chinese, Street Food, BeveragesCafe, Ambience, Creative Cuisine₹600 for two3.5"
Achman Foods,"North Indian, South Indian, Street Food, Desserts, Beverages",4.1,₹400 for two,3.7,"Khandari, Agra","Courteous Staff, Customizable Dishes, Fresh Ingredients","North Indian, South Indian, Street Food, Desserts, BeveragesCourteous Staff, Customizable Dishes, Fresh Ingredients₹400 for two4.1"
Sheroes Hangout,"North Indian, Chinese, Fast Food",4.7,₹600 for two,4.1,"Tajganj, Agra","Ambiance, Customizable Dishes, Extensive Mocktail Menu","North Indian, Chinese, Fast FoodAmbiance, Customizable Dishes, Extensive Mocktail Menu₹600 for two4.7"
Deviram Food Circle,"Mithai, Fast Food, Street Food, North Indian, Desserts, Shake",3.9,₹300 for two,7.2,"Sikandra, Agra","Staff, Clean Environment, Exquisite Taste","Mithai, Fast Food, Street Food, North Indian, Desserts, ShakeStaff, Clean Environment, Exquisite Taste₹300 for two3.9"
Berco's - If You Love Chinese,"Chinese, Thai, Asian",4.3,"₹1,400 for two",2.5,"Civil Lines, Agra","Sustainable Practices, Creative Cuisine, Weekend Brunch","Chinese, Thai, AsianSustainable Practices, Creative Cuisine, Weekend Brunch₹1,400 for two4.3"
Pizza Cafe,"Pizza, Fast Food, Street Food, Desserts",New,₹400 for two,4.8,"Kamla Nagar, Agra","Diverse Menu, Hospitality, Flavorful Creations","Pizza, Fast Food, Street Food, DessertsDiverse Menu, Hospitality, Flavorful Creations₹400 for twoNew"
Burger Farm,"Burger, Wraps, Fast Food, Beverages",-,₹900 for two,4.3,"Tajganj, Agra","Live Sports Screening, Great Service, Staff","Burger, Wraps, Fast Food, BeveragesLive Sports Screening, Great Service, Staff₹900 for two-"
Capri Restaurant,"North Indian, Mughlai",3.5,₹850 for two,2.7,"Civil Lines, Agra","Flavorful Creations, Good Music, Memorable Experience","North Indian, MughlaiFlavorful Creations, Good Music, Memorable Experience₹850 for two3.5"
The Mud Shakes,"Beverages, Shake, Waffle, Fast Food",4.1,₹200 for two,2.7,"Khandari, Agra","Main Course, Memorable Experience, Good Music","Beverages, Shake, Waffle, Fast FoodMain Course, Memorable Experience, Good Music₹200 for two4.1"
Hello Anna,"South Indian, Chinese, Fast Food, Street Food, Ice Cream, Shake",3.0,"₹1,000 for two",6.2,"Sikandra, Agra","Staff, Sustainable Practices, Hospitable Staff","South Indian, Chinese, Fast Food, Street Food, Ice Cream, ShakeStaff, Sustainable Practices, Hospitable Staff₹1,000 for two3.0"
The Indian Curry,"North Indian, Chinese, Oriental, Continental, Desserts, Beverages",3.9,"₹1,800 for two",3.1,"Kamla Nagar, Agra","Local Sourcing, Seasonal Menu, Perfect Place","North Indian, Chinese, Oriental, Continental, Desserts, BeveragesLocal Sourcing, Seasonal Menu, Perfect Place₹1,800 for two3.9"
Subway,"Healthy Food, Sandwich, Fast Food, Wraps, Salad, Beverages",3.9,₹400 for two,3.2,"Civil Lines, Agra","Great Service, Well-priced Options, Diverse Menu","Healthy Food, Sandwich, Fast Food, Wraps, Salad, BeveragesGreat Service, Well-priced Options, Diverse Menu₹400 for two3.9"
The Mughal Room - Hotel Clarks Shiraz,"North Indian, Mughlai, Chinese, Beverages, Desserts",4.3,"₹2,600 for two",2.4,"Hotel Clarks Shiraz, Agra Cantt, Agra","Authentic Flavors, Quantity, Consistent Quality","North Indian, Mughlai, Chinese, Beverages, DessertsAuthentic Flavors, Quantity, Consistent Quality₹2,600 for two4.3"
Taj Terrace - Hotel Taj Resorts,"North Indian, Continental, Chinese, Beverages, Desserts, Shake",4.2,"₹1,000 for two",3.3,"Tajganj, Agra","Young Crowd, Weekend Brunch, Great Service","North Indian, Continental, Chinese, Beverages, Desserts, ShakeYoung Crowd, Weekend Brunch, Great Service₹1,000 for two4.2"
Eight Herbs Café,"Cafe, Fast Food, Sandwich, Burger, Pizza, Momos, Waffle, Beverages",-,₹900 for two,2.6,"Civil Lines, Agra","Cozy Ambiance, Breakfast, Quantity","Cafe, Fast Food, Sandwich, Burger, Pizza, Momos, Waffle, BeveragesCozy Ambiance, Breakfast, Quantity₹900 for two-"
Fakira,"North Indian, Chinese, Continental, Fast Food, Beverages",4.2,"₹2,200 for two",5.6,"Lohamandi, Agra","Seasonal Menu, Customizable Dishes, Variety of Beer","North Indian, Chinese, Continental, Fast Food, BeveragesSeasonal Menu, Customizable Dishes, Variety of Beer₹2,200 for two4.2"
The Sky Restaurant,"North Indian, Chinese",3.9,₹800 for two,7.0,"Sikandra, Agra","Sophisticated, Clean Environment, Cafe","North Indian, ChineseSophisticated, Clean Environment, Cafe₹800 for two3.9"
Burger King,"Burger, Fast Food, Beverages",3.8,₹350 for two,4.0,"Khandari, Agra","Good Music, Vintage Decor, Well-priced Options","Burger, Fast Food, BeveragesGood Music, Vintage Decor, Well-priced Options₹350 for two3.8"
Manoj Dhaba,North Indian,3.9,₹500 for two,3.8,"Dayal Bagh, Agra","Friendly Staff, Extensive Mocktail Menu, Warm Atmosphere","North IndianFriendly Staff, Extensive Mocktail Menu, Warm Atmosphere₹500 for two3.9"
Retro Thrill Cafe,"Fast Food, Pizza, Burger, Rolls, Chinese, North Indian, Biryani, Beverages",3.9,₹800 for two,5.8,"Sikandra, Agra","Delicious Food, Consistent Quality, Attentive Service","Fast Food, Pizza, Burger, Rolls, Chinese, North Indian, Biryani, BeveragesDelicious Food, Consistent Quality, Attentive Service₹800 for two3.9"
Pushpak Misthan Bhandar and Sweet,"Mithai, Street Food",4.4,₹100 for two,1.3,"Mantola, Agra","Diverse Menu, Impeccable Presentation, Cafe","Mithai, Street FoodDiverse Menu, Impeccable Presentation, Cafe₹100 for two4.4"
Gopaldas Pethe Wale,"Mithai, Street Food",3.5,₹250 for two,3.5,"Tajganj, Agra","Warm Atmosphere, Ambiance, Clean Environment","Mithai, Street FoodWarm Atmosphere, Ambiance, Clean Environment₹250 for two3.5"
